Experiment:	LipSpeechMVPA
date:	12-Aug-2022 15:45:13
Subject:	
onset	duration	trial_number	stim_name	block	modality	repetition	actor	consonant	vowel	target	keypress_number	responsekey	keypress_time
316.747	3.456	1	S3la	2	aud	1	S3	l	a	0	0		0.000
323.377	3.441	2	S2li	2	aud	1	S2	l	i	0	0		0.000
329.962	3.443	3	S3fa	2	aud	1	S3	f	a	0	0		0.000
336.565	3.471	4	S1fe	2	aud	1	S1	f	e	0	0		0.000
343.201	3.452	5	S2la	2	aud	1	S2	l	a	0	0		0.000
349.808	3.444	6	S1pe	2	aud	1	S1	p	e	0	0		0.000
356.385	3.468	7	S3pe	2	aud	1	S3	p	e	1	0		0.000
363.004	3.450	8	S3fe	2	aud	1	S3	f	e	0	0		0.000
369.600	3.453	9	S2fi	2	aud	1	S2	f	i	0	0		0.000
376.201	3.450	10	S3le	2	aud	1	S3	l	e	0	0		0.000
382.797	3.453	11	S3pi	2	aud	1	S3	p	i	0	0		0.000
389.398	3.472	12	S3li	2	aud	1	S3	l	i	0	0		0.000
396.036	3.450	13	S1li	2	aud	1	S1	l	i	1	0		0.000
402.632	3.452	14	S1pa	2	aud	1	S1	p	a	0	2	d	408.609
409.234	3.451	15	S1la	2	aud	1	S1	l	a	0	1	d	410.054
415.836	3.468	16	S3pa	2	aud	1	S3	p	a	0	1	d	417.351
422.460	3.461	17	S2le	2	aud	1	S2	l	e	0	0		0.000
429.084	3.452	18	S2pi	2	aud	1	S2	p	i	0	0		0.000
435.684	3.468	19	S1li	2	aud	1	S1	l	i	0	0		0.000
442.300	3.470	20	S3pe	2	aud	1	S3	p	e	0	0		0.000
448.933	3.451	21	S1le	2	aud	1	S1	l	e	0	0		0.000
455.534	3.453	22	S3fi	2	aud	1	S3	f	i	0	0		0.000
462.152	3.450	23	S2pa	2	aud	1	S2	p	a	0	0		0.000
468.748	3.457	24	S1pa	2	aud	1	S1	p	a	1	0		0.000
475.351	3.470	25	S2pe	2	aud	1	S2	p	e	0	0		0.000
481.988	3.450	26	S2fe	2	aud	1	S2	f	e	0	0		0.000
488.588	3.466	27	S2fa	2	aud	1	S2	f	a	0	0		0.000
495.203	3.468	28	S1pi	2	aud	1	S1	p	i	0	0		0.000
501.838	3.449	29	S1fi	2	aud	1	S1	f	i	0	0		0.000
508.420	3.450	30	S1fa	2	aud	1	S1	f	a	0	0		0.000
