Experiment:	LipSpeechMVPA
date:	12-Aug-2022 15:41:33
Subject:	
onset	duration	trial_number	stim_name	block	modality	repetition	actor	consonant	vowel	target	keypress_number	responsekey	keypress_time
113.917	3.332	1	S2le	1	vis	1	S2	l	e	0	0		0.000
120.371	3.295	2	S2fi	1	vis	1	S2	f	i	0	0		0.000
126.769	3.315	3	S1fa	1	vis	1	S1	f	a	0	0		0.000
133.205	3.294	4	S1li	1	vis	1	S1	l	i	0	0		0.000
139.602	3.316	5	S2pe	1	vis	1	S2	p	e	0	0		0.000
146.035	3.330	6	S1pe	1	vis	1	S1	p	e	1	0		0.000
152.468	2.949	7	S1la	1	vis	1	S1	l	a	0	0		0.000
158.470	2.848	8	S2fa	1	vis	1	S2	f	a	0	0		0.000
164.436	3.033	9	S2li	1	vis	1	S2	l	i	0	0		0.000
170.538	3.164	10	S3pi	1	vis	1	S3	p	i	0	0		0.000
176.838	3.328	11	S2fe	1	vis	1	S2	f	e	0	0		0.000
183.219	3.283	12	S3fi	1	vis	1	S3	f	i	0	0		0.000
189.604	3.329	13	S3fe	1	vis	1	S3	f	e	0	0		0.000
196.024	3.328	14	S3le	1	vis	1	S3	l	e	0	0		0.000
202.469	2.997	15	S1pa	1	vis	1	S1	p	a	0	0		0.000
208.570	3.330	16	S1le	1	vis	1	S1	l	e	0	0		0.000
215.005	3.145	17	S1fe	1	vis	1	S1	f	e	0	2	d	215.032
221.273	3.313	18	S2pa	1	vis	1	S2	p	a	0	0		0.000
227.703	3.331	19	S3pa	1	vis	1	S3	p	a	1	0		0.000
234.154	2.949	20	S1pi	1	vis	1	S1	p	i	0	0		0.000
240.222	3.329	21	S3li	1	vis	1	S3	l	i	0	0		0.000
246.654	3.314	22	S1pe	1	vis	1	S1	p	e	0	0		0.000
253.073	3.330	23	S3pe	1	vis	1	S3	p	e	1	0		0.000
259.508	3.309	24	S2la	1	vis	1	S2	l	a	0	0		0.000
265.938	2.948	25	S2pi	1	vis	1	S2	p	i	0	0		0.000
272.004	2.866	26	S1fi	1	vis	1	S1	f	i	0	0		0.000
277.987	3.332	27	S3fa	1	vis	1	S3	f	a	0	1	d	279.847
284.455	3.329	28	S3la	1	vis	1	S3	l	a	0	1	s	285.313
290.886	3.315	29	S3pe	1	vis	1	S3	p	e	0	0		0.000
297.291	3.310	30	S3pa	1	vis	1	S3	p	a	0	0		0.000
